Family,Genus,1.1_MSU977,12.1_MSU977,13.1_MSU977,14.1_MSU977,15.1_MSU977,17.1_MSU977,22.1_MSU977,23.1_MSU977,24.1_MSU977,26.1_MSU977,28.1_MSU977,31.1_MSU977,32.1_MSU977,33.1_MSU977,35.1_MSU977,37.1_MSU977,39.1_MSU977,4.1_MSU977,5.1_MSU977,9.1_MSU977,10.1_MSU977,11.1_MSU977,16.1_MSU977,18.1_MSU977,19.1_MSU977,2.1_MSU977,20.1_MSU977,21.1_MSU977,25.1_MSU977,29.1r_MSU997,3.1_MSU977,30.1_MSU977,34.1_MSU977,36.1_MSU977,38.1_MSU977,40.1_MSU977,41.1_MSU977,6.1_MSU977,7.1_MSU977,8.1_MSU977,1.2_MSU977,12.2_MSU977,13.2_MSU977,14.2_MSU977,15.2_MSU977,17.2_MSU977,22.2_MSU977,23.2_MSU977,24.2_MSU977,26.2_MSU977,28.2_MSU977,31.2_MSU977,32.2_MSU977,33.2_MSU977,35.2_MSU977,37.2_MSU977,39.2_MSU977,4.2_MSU977,5.2_MSU977,9.2_MSU977,10.2_MSU977,11.2_MSU977,16.2_MSU977,18.2_MSU977,19.2_MSU977,2.2_MSU977,20.2_MSU977,21.2_MSU977,25.2_MSU977,29.2_MSU977,3.2_MSU977,30.2_MSU977,34.2_MSU977,36.2_MSU977,38.2_MSU977,40.2_MSU977,41.2_MSU977,6.2_MSU977,7.2_MSU977,8.2_MSU977,1.5_MSU977,12.5_MSU977,13.5_MSU977,14.5_MSU977,15.5_MSU977,17.5_MSU977,22.5_MSU977,23.5_MSU977,24.5_MSU977,26.5_MSU977,28.5_MSU977,31.5_MSU977,32.5_MSU977,33.5_MSU977,35.5_MSU977,37.5_MSU977,39.5_MSU977,4.5_MSU977,5.5_MSU977,9.5_MSU977,10.5_MSU977,11.5_MSU977,16.5_MSU977,18.5_MSU977,19.5_MSU977,2.5_MSU977,20.5_MSU977,21.5_MSU977,25.5_MSU977,29.5_MSU977,3.5_MSU977,30.5_MSU977,34.5_MSU977,36.5_MSU977,38.5_MSU977,40.5_MSU977,41.5_MSU977,6.5_MSU977,7.5_MSU977,8.5_MSU977,1.7_MSU977,12.7_MSU977,13.7_MSU977,14.7_MSU977,15.7_MSU977,17.7_MSU977,22.7_MSU977,23.7_MSU977,24.7_MSU977,26.7_MSU977,28.7_MSU977,31.7_MSU977,32.7_MSU977,33.7_MSU977,35.7_MSU977,37.7_MSU977,39.7_MSU977,4.7_MSU977,5.7_MSU977,9.7_MSU977,10.7_MSU977,11.7_MSU977,16.7_MSU977,18.7_MSU977,19.7_MSU977,2.7_MSU977,20.7_MSU977,21.7_MSU977,25.7_MSU977,3.7_MSU977,30.7_MSU977,34.7_MSU977,36.7_MSU977,38.7_MSU977,40.7_MSU977,41.7_MSU977,6.7_MSU977,7.7_MSU977,8.7_MSU977
Lachnospiraceae,Lachnobacterium,0,0,0,62.07,31.31,49.49,0,16.13,0,0,0,22.36,0,0,0,0,49.01,14.4,9.84,19.77,0,7.5,22.64,18.44,0,0,36.96,17.25,11.52,3.98,5.19,0,15.31,17.65,16.89,13.48,56.26,0,18.17,0,0,0,0,12.24,0,0,0,0,0,4.67,0,5.86,0,0,0,0,0,0,0,9.25,0,0,0,0,0,0,0,5.97,0,0,0,0,0,0,0,0,0,0,0,5.84,0,0,6.28,0,0,0,0,3.88,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82,0,4.68,5.91,0,5.08,0,12.88,3.07,18.08,5.65,0,0,10.42,9.61,14.62,0,0,0,14.42,0,0,3.7,0,0,0,0,0,0,2.74,0,10.26,0,0,0
Lachnospiraceae,Lachnoclostridium,72.21,62.22,53.99,53.61,63.24,85.87,60.73,56.99,42.75,45.15,34.78,71.41,52.2,71.96,26.6,38.99,55.29,72.74,56.47,85.89,44.18,42.46,45.47,42.81,43.38,59.73,57.67,49.6,81.4,45.1,55.83,63.12,96.13,122.97,36.19,43.32,71.51,49.54,123.44,44.71,39.06,77.86,50.64,46.62,49.64,41.34,61.58,48.01,33.79,45.45,53.29,40.84,57.29,39.23,40.89,41.16,54.33,35.35,53.53,48.33,49.4,60.13,37.08,45.5,55.75,35.21,79.77,97.37,59.17,47.37,41.69,37.18,40.4,56.58,66.1,52.34,31.95,41.87,47.79,60.53,59.79,53.69,63.23,43.86,46.32,60.9,68.07,51.27,94.81,41.41,62.33,47.48,55.86,64.98,42.49,49.06,58.81,60.15,55.69,58.38,56.08,73.26,45.87,46.28,51.91,46.85,52.88,59.37,79.85,32.58,48.48,37.59,85.5,64,59.2,51.93,53.25,58.85,45.62,49.3,51.16,28.08,33.45,28.76,47.8,56.9,62.47,47.99,59.6,59.12,56.43,21.1,235.03,78.49,73.86,71.32,54.33,55.13,53.17,60.48,38.34,34.87,65.72,65.25,63.69,30.07,35.59,64.88,55.46,45.47,65.32,50.34,71.05,58.06,60.17,40.7,36.71,63.11,67.6
Lachnospiraceae,Lachnospira,25.07,34.41,45.39,67.39,22.01,130.37,42.88,23.13,30.93,50.87,33.41,35.94,24.11,60.3,38.7,40.59,36.08,18.21,17.12,30.55,48.33,38.39,21.87,34.78,43.12,21.62,45.99,29.54,38.58,34.24,15.9,35,50.3,50.81,39.65,33.19,41.77,11.39,66.34,49.84,136.78,34.63,16.31,13.34,28.02,26.63,78.37,24.73,98.37,35.02,58.7,11.34,194.24,39.26,32.6,26.08,20.75,7.5,39.95,11.64,41.78,29.84,26.28,33.25,23.66,35.54,22.57,25.73,19.79,55.52,43.76,48.06,31.38,117.9,38.6,22.89,31.28,8.09,74.81,32.94,25.87,77.12,55.39,64.97,53.12,51.43,159.1,58.85,177.25,67.8,51.19,133.02,208.07,216.37,67.01,25.14,33.99,12.09,63.94,98.75,64.69,64.37,18.62,43.17,69.7,60.84,127.71,104.6,58.31,17.46,36.56,43.58,130.58,112.6,37.88,61.16,45.89,79.06,61.57,122.37,28.66,8.65,31.64,47.19,43.28,206.36,36.23,54.95,132.7,35.79,61.48,32.42,249.17,60.9,271.12,106.26,103.42,86.06,76.03,179.22,32.78,33.27,67.14,41.83,48.21,58.66,79.09,58.97,140.35,72.63,67.15,32.35,90.21,6.47,42.36,135.18,67.9,33.58,80.13
Lachnospiraceae,Pseudobutyrivibrio,18.55,33.52,24.37,67.69,33.43,31.66,16.52,37.94,13.96,14.76,2.2,25.27,14.86,37.32,12.16,27.38,43.95,9.58,17.54,29.4,61.04,12.67,11,54.01,4.79,21.95,48.74,40.46,20.72,21.25,24.82,6.53,51.1,38.12,17.99,37.98,35.67,21.8,29.81,19.55,5.85,18.11,5.32,20.67,11.24,16.01,15.34,6.65,0,8.6,8.14,4.18,13.07,8.88,2.94,0,3.76,2.89,20.39,38.6,10.9,17.97,7.83,21.88,18.85,8.43,6.24,22.26,15.46,13.09,18.97,13.8,12.35,5.73,419.16,8.08,16.49,13.43,5.77,14.76,15.55,12.89,11.66,18.23,5.53,7.74,15.33,17.29,24.8,20.97,8.3,7.7,11.91,5.57,13.09,4.25,9.57,6.55,10.88,21.52,8.26,3.22,10.82,4.36,3.6,4.74,6.55,13.3,13.58,1.62,0,8.48,10.93,18.87,6.62,9.12,25.03,9.79,2.74,11.65,13.08,3.44,20.32,13.75,14.56,17.21,17.64,19.52,9.82,11.33,13.17,15.99,43.73,19.61,19.2,6.81,11.83,29.76,12.8,35.72,6.44,7.67,23.99,49.07,8.69,11.87,17.97,18.72,9.88,15.32,9.45,5.7,123.58,15.63,16.26,13.71,11.19,10.12,15.41
Lachnospiraceae,Roseburia,12.84,0,24.58,125.64,58.94,87.05,0,57.99,0,26.05,0,87.87,10.31,11.61,0,0,91.01,27.63,23.02,86.45,19.73,0,61.22,77.81,45.51,0,126.37,79.25,60.18,34.12,35.69,0,115.33,28.63,66.15,78.68,93.13,11.04,187.46,7.11,0,0,0,9.3,2.59,12.2,14.11,3.32,2.95,10.28,2.75,0,6.02,0,0,0,0,1.01,3.54,8.27,5.63,6.78,5.12,10.06,0,2.52,7.18,0,0,6.94,0,0,0,0,9.42,0,0,0,0,7.62,6.82,0,2.91,3.15,0,0,0,0,0,0,0,0,0,0,0,0,7.03,0,4.7,3.02,0,0,3.35,0,3.02,0,0,0,0,0,0,0,0,0,3.54,0,0,4.99,0,0,6.66,0,0,14.78,16.8,0,20.73,56.04,2.8,26.63,8.65,22.65,0,45.04,0,10.58,0,31.1,20.76,12.17,7.83,0,7.42,50.77,38.9,0,35.62,0,3.4,0,0,0,66.55,14.54,2.9,45.16,0,17.65,11.82
Lachnospiraceae,Shuttleworthia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81,0,0,0,0,0,0,0,0,14.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachnospiraceae,Tyzzerella,0,0,7.36,32.39,14.33,14.79,0,19.97,4.06,9.75,0,27.02,1.95,0,0,6.88,23.47,3.07,7.88,16.42,5.85,0,8.57,15.67,10.62,6.75,27.14,14.63,16.37,11.4,6.37,3.05,49.89,7.97,18.14,19.68,15.63,5.33,52.28,0,0,11.24,0,0,0,0,0,0,3.07,0,3.38,0,0,0,0,3.38,0,0,0,3.74,0,3.38,0,0,0,0,6.75,0,2.52,2.62,0,0,0,0,0,0,3.21,0,0,0,0,2.75,4.72,0,0,0,0,3.53,6.02,0,4.57,0,0,0,4.25,0,0,0,0,12.96,3.45,9.34,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,3.03,0,3.43,6.06,0,0,6,0,6.84,3.95,11.31,0,8.36,0,0,0,14.34,0,0,0,6.59,5.92,6.33,0,0,0,0,7.42,0,0,0,0,0,0,0,7.03,3.83,5.31,13.67,0,0,6.15
Methanosarcinaceae,Methanosarcina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,5.59,7.86,0,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,5.7,0,0,1.43,0,0,9.28,3.22,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,4.41,0,1.1,0,0,0,4.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylobacteriaceae,Methylobacterium,3.94,0,0,0,0,0,3.52,0,0,0,0,0,0,0,0,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,2.57,0,0,0,0,0,1.18,0,0,0,0,3.16,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,0,0,0,0,0,0,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,3.49,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,1.44,4.08,0,0,0,0,3.27,1.91,1.92,0,3.95,0,0,0,0,11.59,0,0,0,0,0,3.38,0,0,0,0,3.69,0,0,0,13.12,0,1.45,2.26,6.51
Methylobacteriaceae,Microvirga,0,0,0,0,0,0,0,6.39,0,0,0,0,0,0,0,0,0,2.27,0,0,5.44,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72,0,0,0,0,0,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54,0,0,0,0,0,0,0,0,0,0,0,0,3.06,0,0,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94,0,0,1.44,0,0
Microbacteriaceae,Clavibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microbacteriaceae,Microbacterium,71.17,0,0,0,4.53,0,0,0,0,0,0,0,0,0,0,0,0,24.04,90.02,6.3,0,4.74,0,0,0,0,167.76,0,0,0,0,0,0,0,0,0,0,165.51,0,170.04,0,0,0,0,0,0,0,0,0,0,13.08,0,0,0,0,0,0,0,1.19,0,0,8.59,0,7.4,3.62,0,0,0,0,0,0,0,0,0,0,0,1.74,0,3.54,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.7,0,0,0,0,0,0,3.35,0,0,5.05,0,0,0,0,0,0,0,54.52,41.51,70.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.55,86.14,69.15,46.16,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,46.11,168.24,26.49,116.38,51.18,0,0,0
Micrococcaceae,Kocuria,0,17.94,5.27,14.37,0,2.37,0,4.4,0,6.14,0,0,0,0,0,16.11,0,0,0,0,0,6.66,7.36,0,0,5.35,0,0,16.76,0,5.03,0,0,0,11.35,5.49,0,0,0,12.41,10.33,10.96,0,20.72,0,0,8.7,23.86,10.47,0,0,27.34,19.47,11.35,10.6,3.06,19.23,0,33.15,0,10.5,11.88,6.62,8.72,0,16.15,0,6.27,5.96,12.3,13.68,9.89,0,0,27.73,35.46,42.32,14.2,24.92,10.04,11.79,5.88,0,0,0,0,14.11,8.81,29.79,4.45,5.11,12.78,18.46,0,7.39,5.16,17.25,0,12.11,9.37,0,0,0,0,0,2.06,3.27,2.39,12.25,0,0,13.56,0,0,14.69,0,10.07,7.29,4.87,11.36,0,0,0,2.37,29.59,12.19,7.58,0,4.21,0,0,23.57,27.24,15.86,9.76,0,0,0,12.73,0,6.57,0,0,0,0,0,0,0,0,12.68,0,0,29.25,0,0,0,0,0,0
Micrococcaceae,Micrococcaceae_u_g,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,0,0,0,0,0,0,0,0,0,1.88,0,1.41,0,0,1.91,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,1.36,2.43,0,0,0,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,1.12,1.12,0,0,1.61,15.56,0,1.61,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,3.66,0,6.1,1.36,0,0,0,2.76,0,0,0,0,1.36,1.64,0,0,0,0,0,0,0,0,1.36,0,1.36,2.15,0,0,0,1.65,3.01,0,0,0,0,0,0,0,3.04,0,0,0,1.36,0,0,1.36,0,0,1.36,0,0,0,1.88
Micromonosporaceae,Micromonospora,0,0,0,7.94,0,0,0,0,0,0,0,0,0,0,0,10.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.31,11.39,7.58,13.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54,11.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.41,0,0,0,0,0,0,14.44,0,0,0,0,0,0,5.81,0,10.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycoplasmataceae,Ureaplasma,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,1.92,0,0,0,0,0,0,0,1.67,0,0,0,1.48,0,2.02,0,0,0,1.67,0,0,0,2.07,0,0,3.29,1.66,0,0,0,0,0,0,0,0,0,0,1.66,0,1.79,0,2.47,0,0,0,0,0,1.68,0,0,1.54,0,0,0,0,0,0,0,0,0,1.86,0,1.53,2.17,0,0,0,0,1.67,0,0,1.57,0,0,2.71,0,0,1.66,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,1.74,0,0,0,0,1.7,1.85,0,1.7,0,0,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,2.49,0,0,0,0,0,1.66,0,0,0
Myxococcaceae,Myxococcaceae_u_g,4.13,0,2.86,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45,0,0,0,0,0,0,0,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitrospiraceae,Nitrospiraceae_u_g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nocardiopsaceae,Thermobifida,10.27,8.56,138.43,125.32,85.98,0,0,0,3.24,0,4.57,0,13.13,105.71,51.92,6.8,3.63,0,0,5.91,9.05,9.91,0,0,0,4.57,0,0,2.73,0,9.74,4.4,7.97,227.74,9.76,6.86,18.76,1.93,10.4,0,0,0,0,0,0,0,10.55,0,0,10.75,297.15,227.73,301.99,162.6,181.68,251.77,13.22,0,0,9.54,0,0,0,0,0,0,0,0,0,112.41,0,161.45,215.52,221.14,3.83,10.97,4.56,0,0,5,7.15,11.97,2.85,0,0,132.02,0,0,466.98,127,298.3,3.71,3.2,26.44,19.44,10.1,0,11.31,13.65,0,0,3.82,205.44,48.01,54.6,2.73,157.74,207.76,360.86,50.43,4.4,0,44.92,36.26,3.43,2.36,13.65,6.74,4.03,9.95,0,0,0,0,0,0,0,0,0,16.73,0,1.53,0,25.19,17.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52,39.49,3.51,0,15.61,0,0,0
Opitutales_u_f,Opitutales_u_g,0,0,0,0,0,0,0,0,0,9.64,0,0,0,0,0,0,0,0,0,0,186.4,0,0,0,0,0,0,0,0,0,0,12.22,0,0,122.19,0,0,22.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paenibacillaceae,Saccharibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32,0,0,0,0,0
Pasteurellaceae,Gallibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.91,0,0,0,0,0
Peptococcaceae,Desulfotomaculum,1.33,0,1.81,0,0,0,1.77,0,0,0,1.85,0,0,0,0,0,0,2.19,0,4.83,0,0,2.62,0,2.4,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0,2.37,0,0,0,0,0,0,0,1.05,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,0,0,0,0,1.92,0,0,0,0,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34,0,2.16,0,0,2.21,0,0,0,0,0,0,0,0,0,0,0,3.43,0
Peptococcaceae,Peptococcaceae_u_g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03,0,0,0,0,0,0,0,0,0,0,4.43,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66,0,0,0,0,0,0,0,0,0,7.13,10.85,0,0,0,0,4.66,0,4.86,0,0,0,0,0,0,0,5.17,5.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93,0,4.83,4.7,0,0,0,0,5.41,8.88,0,0,0,0,5.72,0,0,0,4.36,0,4.6,0,0,0,0,0,0,4.1,0
Peptoniphilaceae,Anaerococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.86,0,0,0,0,0,0
Peptoniphilaceae,Helcococcus,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0,0,0,1.12,1.87,0,0,0,0,0,0,1.16,0,0,0,0,0,13.79,0,0,0,0,0,1.06,0,1.75,0,0,1.61,0,0,3.35,1.08,1.39,0,2.01,1.04,0,0,2.35,0,0,1.71,0,0,0,2.49,2.37,1.82,2.35,1.79,1.03,1.41,2.22,0,2.12,0,1.69,0,1.73,1.4,0,0,0,1.04,1.7,0,2.16,2,1.03,1.65,0,1.22,1.86,0,17.22,1.02,2.38,0,1.33,1.18,1.71,1.18,1.23,0,1.95,1.37,0,0,0,1.71,1.46,1.32,0,1.2,1.44,0,1.33,0,11.36,1.18,1.92,1.89,0,0,1.47,2.13,0,0,0,1.56,0,0,0,0,1.12,0,2.44,0,0,0,2.6,0,0,0,11.33,0,0,2.42,1.29,0,2.46,0,0,0,0,1.2,1.32,1.79,0,1.35,0,0,0,2.9,2.14
Peptoniphilaceae,Parvimonas,0,0,0,4.05,2.26,0,0,0,0,0,0,0,4.24,0,0,0,0,3.43,0,0,0,0,0,0,0,1.93,0,0,0,0,0,0,2.41,0,0,1.99,0,1.74,2.47,0,0,0,3.58,0,0,0,0,3.83,0,0,12.71,1.89,2.99,2.9,0,0,0,0,3.15,0,5.57,0,2.13,0,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,0,2.18,0,0,6.13,0,0,4.18,0,4.46,0,2.82,0,0,0,0,0,4.76,0,0,0,0,0,2.28,0,3.28,3.63,2.53,3.61,0,0,0,4.9,0,0,2.57,0,0,0,0,0,0,3.99,0,3.43,0,0,5.21,3.46,0,0,0,0,0,0,0,0,0,0,0,0,3.89,0,0,0,0,6.05,0,0,2.26,2.13,0,0,0,0,1.81,0,2.52
Peptostreptococcaceae,Intestinibacter,10.23,14.51,24.62,14.06,13.61,56.98,0,25.59,12.47,7.09,0,16.04,0,13.79,12.48,0,0,0,0,28.73,0,0,17.73,64.99,0,9.93,17.21,17.67,16.72,0,0,12.14,15.29,9.75,32.24,17.59,14.95,0,22.33,11.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.77,0,0,0,0,13.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.17,0,0,0,31.07,7.9,20.35,11.75,0,15.15,0,22.94,0,25.66,0,0,0,11.79,0,17.77,0,0,0,15.31,7.63,0,0,0,10.05,0,0,0,13.4,0,0,8.82,0,0,0
Peptostreptococcaceae,Paeniclostridium,18.2,23.03,13.04,18.94,29.52,6.68,13.98,11.84,22.45,0,18.18,14.85,7.53,27.68,25.88,0,8.45,11.85,0,7.22,15.4,29.53,37.3,23.19,0,20.62,35.62,27.5,8.62,10.6,0,22.25,24.86,15.85,13.15,35.42,30.13,0,36.51,20.6,7.63,0,13.23,0,22.98,0,0,21.75,0,11.03,9.44,0,0,13.83,21.62,0,0,0,0,17.59,0,0,0,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.92,0,0,0,0,0,12.5,0,12.07,16.32,0,0,0,0,0,10.66,0,0,0,0,11.4,0,0,10.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,10.3,11.91,17.43,15.99,8.76,23.17,23.03,31.43,15.12,14.63,19.74,43.01,13.98,0,0,23.66,10.47,6.58,0,8.45,16.16,29.31,9.36,9.29,17.65,13.62,15.63,15.17,16.3,0,27.87,0,15.92,23.66,0,12.47,16.29
Peptostreptococcaceae,Peptostreptococcaceae_u_g,20.45,27.99,33.42,13.61,15.66,32.65,6.71,66.77,26.01,11.93,15.85,18.33,12.76,30.7,26.43,12.51,6.79,13.14,22.71,27.51,11.64,24.98,38.24,57.75,7.18,20.59,40.63,30.48,42.86,9.66,0,24.37,38.86,21.14,65.59,39.52,31.6,19.47,20.19,22.01,5.65,8.73,9.14,0,20.1,16.65,4.87,11.14,9.44,6.92,13.92,23.83,6.69,7.97,26.45,9,0,32.89,7,12.88,17.16,9.39,8.95,11.14,10.44,4.44,4.52,10.24,23.25,17.8,17.31,5.5,12.5,0,8.55,8.04,0,14.13,5.59,14.96,0,16.37,5.89,14.2,11.59,13.97,4.74,14.03,15.13,8.15,0,25,0,0,6.47,18.02,10.68,4.91,5.06,7.25,15.29,0,5.84,15.89,13.52,0,10.68,0,10.4,0,5.16,0,20.34,14.79,0,27.9,17.08,17.81,5.3,18.88,14.35,21.78,16.25,9.12,87.11,18.47,48.67,28.6,20.21,32.3,16.84,59.62,20.94,22.19,16.34,18.69,10.85,14.89,8.63,41.94,9.61,5.3,8.87,19.18,13.23,6.03,12.12,9.01,16.34,10.87,21.74,14.82,17.37,6.07,16.88,24.46,6.96,8.47,9.59
