Name	Treatment	Time_tx	Chao1	Simpson	Shannon
31.1_MSU977	Control	Day -1	14	0.733653548	2.502524643
32.1_MSU977	Control	Day -1	13	0.703035941	2.232463576
16.1_MSU977	Antibiotic	Day -1	17	0.671284113	2.228723131
20.2_MSU977	Antibiotic	Week 1	16	0.661216427	2.24326477
19.5_MSU977	Antibiotic	Week 5	19	0.649792969	2.18271202
4.1_MSU977	Control	Day -1	19	0.712682915	2.334023224
2.1_MSU977	Antibiotic	Day -1	14	0.704025569	2.199848337
6.1_MSU977	Antibiotic	Day -1	15	0.707199217	2.301695962
30.2_MSU977	Antibiotic	Week 1	12	0.680535387	2.226559596
16.2_MSU977	Antibiotic	Week 1	14	0.659830125	2.201982026
21.1_MSU977	Antibiotic	Day -1	17	0.703482079	2.403137135
41.1_MSU977	Antibiotic	Day -1	13	0.754450047	2.521741365
19.7_MSU977	Antibiotic	Week 9	15	0.686375164	2.292540194
23.7_MSU977	Control	Week 9	14	0.705054459	2.253471313
18.2_MSU977	Antibiotic	Week 1	13	0.594231876	1.959143582
21.7_MSU977	Antibiotic	Week 9	15	0.765484382	2.53755709
24.1_MSU977	Control	Day -1	19	0.640975768	2.178483157
14.1_MSU977	Control	Day -1	13	0.636812536	2.062913971
19.1_MSU977	Antibiotic	Day -1	15	0.752749335	2.395348159
6.2_MSU977	Antibiotic	Week 1	14	0.63838595	2.073870848
4.5_MSU977	Control	Week 5	15	0.664440626	2.213936256
13.1_MSU977	Control	Day -1	13	0.664421959	2.064696141
37.2_MSU977	Control	Week 1	13	0.706010202	2.212415697
1.7_MSU977	Control	Week 9	16	0.508626059	1.81927699
7.1_MSU977	Antibiotic	Day -1	33	0.71176244	2.655715485
25.5_MSU977	Antibiotic	Week 5	13	0.668697276	2.143578029
13.5_MSU977	Control	Week 5	10	0.670197028	1.999761748
39.1_MSU977	Control	Day -1	15	0.774862763	2.590724239
1.2_MSU977	Control	Week 1	9	0.589957283	1.798262148
41.7_MSU977	Antibiotic	Week 9	14	0.735373816	2.369740016
22.1_MSU977	Control	Day -1	13	0.636396417	2.062180579
34.2_MSU977	Antibiotic	Week 1	14	0.731671306	2.307018008
12.2_MSU977	Control	Week 1	16	0.638791115	2.093782846
2.2_MSU977	Antibiotic	Week 1	14	0.70690996	2.314494645
34.7_MSU977	Antibiotic	Week 9	11	0.701927537	2.172243421
22.5_MSU977	Control	Week 5	12	0.524594278	1.736653335
36.7_MSU977	Antibiotic	Week 9	16	0.729035834	2.447060886
26.2_MSU977	Control	Week 1	24	0.679367621	2.420130606
10.5_MSU977	Antibiotic	Week 5	13	0.676732552	2.208865536
19.2_MSU977	Antibiotic	Week 1	14	0.678497412	2.254061388
8.7_MSU977	Antibiotic	Week 9	16	0.697143273	2.292897252
12.1_MSU977	Control	Day -1	13	0.448399515	1.565087739
15.2_MSU977	Control	Week 1	20	0.709941804	2.422078036
11.1_MSU977	Antibiotic	Day -1	22	0.541775692	2.023554618
26.1_MSU977	Control	Day -1	12	0.663628625	2.091671934
41.5_MSU977	Antibiotic	Week 5	12	0.667075753	2.125362745
17.2_MSU977	Control	Week 1	14	0.70775449	2.347117412
9.7_MSU977	Control	Week 9	15	0.651447227	2.23920747
29.5_MSU977	Antibiotic	Week 5	12	0.71111527	2.227106044
34.5_MSU977	Antibiotic	Week 5	13	0.653587806	2.075719199
5.2_MSU977	Control	Week 1	18	0.679401289	2.225726574
40.5_MSU977	Antibiotic	Week 5	14	0.710621335	2.350975728
31.7_MSU977	Control	Week 9	13	0.719692661	2.513411446
23.2_MSU977	Control	Week 1	20	0.720452232	2.400219689
7.7_MSU977	Antibiotic	Week 9	18	0.671927322	2.328805572
6.7_MSU977	Antibiotic	Week 9	17	0.710719666	2.426107026
14.7_MSU977	Control	Week 9	15	0.737510811	2.524512318
33.1_MSU977	Control	Day -1	20	0.567050237	1.927852317
14.5_MSU977	Control	Week 5	13	0.657615297	2.057040458
30.5_MSU977	Antibiotic	Week 5	14	0.660582764	2.138692339
37.5_MSU977	Control	Week 5	13	0.713800257	2.262998049
18.1_MSU977	Antibiotic	Day -1	21	0.418522567	1.61959263
16.7_MSU977	Antibiotic	Week 9	15	0.678993984	2.183401161
20.7_MSU977	Antibiotic	Week 9	33	0.751610199	3.079634854
39.7_MSU977	Control	Week 9	14	0.748329487	2.466833795
10.2_MSU977	Antibiotic	Week 1	15	0.629787673	2.054433202
38.2_MSU977	Antibiotic	Week 1	13	0.671870343	2.187489352
25.1_MSU977	Antibiotic	Day -1	15	0.636560755	1.99813771
41.2_MSU977	Antibiotic	Week 1	15	0.584445619	1.950968714
40.7_MSU977	Antibiotic	Week 9	13	0.694319247	2.217683781
13.7_MSU977	Control	Week 9	12	0.693037476	2.172153725
28.7_MSU977	Control	Week 9	15	0.75394092	2.509797411
25.7_MSU977	Antibiotic	Week 9	14	0.70551179	2.318659679
20.5_MSU977	Antibiotic	Week 5	14	0.744271867	2.461887584
32.7_MSU977	Control	Week 9	12	0.667556345	2.116904012
17.1_MSU977	Control	Day -1	30	0.657836941	2.586348202
28.5_MSU977	Control	Week 5	13	0.668873096	2.102098179
37.7_MSU977	Control	Week 9	22	0.75494163	2.593462884
22.7_MSU977	Control	Week 9	61	0.8369665	4.183306644
36.5_MSU977	Antibiotic	Week 5	14	0.664137803	2.175233354
13.2_MSU977	Control	Week 1	17	0.598965827	2.010860224
39.2_MSU977	Control	Week 1	12	0.659099497	2.101714389
17.5_MSU977	Control	Week 5	13	0.707149496	2.335139901
22.2_MSU977	Control	Week 1	28	0.660840606	2.422393691
1.1_MSU977	Control	Day -1	13	0.732949688	2.369929733
23.1_MSU977	Control	Day -1	31	0.704662429	2.65738271
35.5_MSU977	Control	Week 5	12	0.672314616	2.171567983
3.1_MSU977	Antibiotic	Day -1	23	0.77548138	2.616211023
28.1_MSU977	Control	Day -1	13	0.762239363	2.457168988
2.5_MSU977	Antibiotic	Week 5	11	0.659371847	2.040980922
10.1_MSU977	Antibiotic	Day -1	18	0.745405464	2.438693631
40.1_MSU977	Antibiotic	Day -1	15	0.709791995	2.345740183
11.5_MSU977	Antibiotic	Week 5	16	0.648193514	2.15637519
11.2_MSU977	Antibiotic	Week 1	22	0.587354003	2.080289053
29.1r_MSU997	Antibiotic	Day -1	13	0.738906465	2.33695679
40.2_MSU977	Antibiotic	Week 1	12	0.437487988	1.49953595
16.5_MSU977	Antibiotic	Week 5	15	0.637770477	2.085000541
14.2_MSU977	Control	Week 1	11	0.575652365	1.922328815
5.5_MSU977	Control	Week 5	19	0.723860507	2.405935264
7.2_MSU977	Antibiotic	Week 1	13	0.588727273	1.874346419
32.2_MSU977	Control	Week 1	12	0.686248477	2.106048516
6.5_MSU977	Antibiotic	Week 5	11	0.633297017	1.949285267
23.5_MSU977	Control	Week 5	17	0.544768256	1.857960481
8.5_MSU977	Antibiotic	Week 5	15	0.651582738	2.163375243
36.2_MSU977	Antibiotic	Week 1	15	0.679818584	2.128872408
15.5_MSU977	Control	Week 5	13	0.668298549	2.203234652
12.5_MSU977	Control	Week 5	15	0.593734319	1.877539441
9.2_MSU977	Control	Week 1	15	0.654697578	2.152277892
3.7_MSU977	Antibiotic	Week 9	15	0.698612105	2.244319155
30.7_MSU977	Antibiotic	Week 9	13	0.757905916	2.532030958
28.2_MSU977	Control	Week 1	15	0.675862333	2.109216153
11.7_MSU977	Antibiotic	Week 9	23	0.730839787	2.515681429
25.2_MSU977	Antibiotic	Week 1	14	0.65509038	2.199083142
5.1_MSU977	Control	Day -1	12	0.677027731	2.183369392
2.7_MSU977	Antibiotic	Week 9	14	0.727567654	2.289850274
32.5_MSU977	Control	Week 5	12	0.586070673	1.896740557
9.1_MSU977	Control	Day -1	15	0.699240493	2.386585761
26.7_MSU977	Control	Week 9	20	0.65676814	2.282339913
3.5_MSU977	Antibiotic	Week 5	16	0.641957907	2.113176648
29.2_MSU977	Antibiotic	Week 1	16	0.73499587	2.497510846
18.5_MSU977	Antibiotic	Week 5	11	0.628579283	1.940962915
21.5_MSU977	Antibiotic	Week 5	14	0.623759205	2.094999548
7.5_MSU977	Antibiotic	Week 5	16	0.605823755	2.059258399
8.1_MSU977	Antibiotic	Day -1	9	0.519611422	1.598240258
17.7_MSU977	Control	Week 9	13	0.657619266	2.099119593
24.5_MSU977	Control	Week 5	17	0.643650805	2.088578603
21.2_MSU977	Antibiotic	Week 1	15	0.601107104	2.058196923
38.7_MSU977	Antibiotic	Week 9	14	0.710641966	2.237891753
9.5_MSU977	Control	Week 5	17	0.63195289	2.093808978
31.5_MSU977	Control	Week 5	13	0.584562559	1.918883325
5.7_MSU977	Control	Week 9	15	0.746341395	2.467478706
35.7_MSU977	Control	Week 9	12	0.713574659	2.218384763
8.2_MSU977	Antibiotic	Week 1	15	0.543827033	1.83935809
36.1_MSU977	Antibiotic	Day -1	13	0.685314622	2.127480737
30.1_MSU977	Antibiotic	Day -1	15	0.656164189	2.191280352
4.7_MSU977	Control	Week 9	14	0.713908909	2.276991593
3.2_MSU977	Antibiotic	Week 1	18	0.668252754	2.221592696
10.7_MSU977	Antibiotic	Week 9	13	0.65873502	2.165142476
31.2_MSU977	Control	Week 1	13	0.663785413	2.203242471
35.1_MSU977	Control	Day -1	16	0.40828833	1.530994713
15.7_MSU977	Control	Week 9	16	0.595796117	2.057519657
4.2_MSU977	Control	Week 1	14	0.746627251	2.444471245
38.5_MSU977	Antibiotic	Week 5	12	0.676121164	2.104381205
18.7_MSU977	Antibiotic	Week 9	15	0.750472741	2.555924305
33.5_MSU977	Control	Week 5	12	0.627352315	2.007847435
33.7_MSU977	Control	Week 9	19	0.678918237	2.161623274
12.7_MSU977	Control	Week 9	11	0.644015794	1.989153692
34.1_MSU977	Antibiotic	Day -1	15	0.70038274	2.268875199
33.2_MSU977	Control	Week 1	20	0.67359067	2.277982974
26.5_MSU977	Control	Week 5	15	0.721369118	2.322063959
24.2_MSU977	Control	Week 1	13	0.700123219	2.262644194
1.5_MSU977	Control	Week 5	17	0.658374719	2.198515447
20.1_MSU977	Antibiotic	Day -1	18	0.650797459	2.125418023
35.2_MSU977	Control	Week 1	13	0.547828383	1.822075737
39.5_MSU977	Control	Week 5	14	0.663044986	2.127594814
24.7_MSU977	Control	Week 9	23	0.745982915	2.619232458
15.1_MSU977	Control	Day -1	14	0.741259976	2.407516049
37.1_MSU977	Control	Day -1	15	0.588536059	1.98079798
38.1_MSU977	Antibiotic	Day -1	16	0.63162812	2.200633397