Name	Cohort	Chao1	Simpson	Shannon
31.1_MSU977	A_Day -1	114	0.973388445	5.887041885
32.1_MSU977	A_Day -1	125	0.960701719	5.477684072
16.1_MSU977	B_Day -1	147	0.935423383	5.298768923
20.2_MSU977	B_Week 1	115	0.960528447	5.266765996
19.5_MSU977	B_Week 5	96	0.94656359	4.890061941
4.1_MSU977	A_Day -1	150	0.967419325	5.79131205
2.1_MSU977	B_Day -1	121	0.956057303	5.374638625
6.1_MSU977	B_Day -1	120	0.962046498	5.426662397
30.2_MSU977	B_Week 1	93	0.746024359	3.514301691
16.2_MSU977	B_Week 1	96	0.940340175	4.873919597
21.1_MSU977	B_Day -1	155	0.967860014	5.975693276
41.1_MSU977	B_Day -1	168	0.97675526	6.132867243
19.7_MSU977	B_Week 9	124	0.970408679	5.659858982
23.7_MSU977	A_Week 9	100	0.968036779	5.450042918
18.2_MSU977	B_Week 1	114	0.928033668	4.84023897
21.7_MSU977	B_Week 9	103	0.962685525	5.282262586
24.1_MSU977	A_Day -1	103	0.933347888	4.926445494
14.1_MSU977	A_Day -1	167	0.979257633	6.227565818
19.1_MSU977	B_Day -1	113	0.971826017	5.7242597
6.2_MSU977	B_Week 1	87	0.94489002	4.798862114
4.5_MSU977	A_Week 5	96	0.916903492	4.650737168
13.1_MSU977	A_Day -1	162	0.97156024	5.979972376
37.2_MSU977	A_Week 1	94	0.941974465	4.906683008
1.7_MSU977	A_Week 9	106	0.94973829	5.037958944
7.1_MSU977	B_Day -1	200	0.969326156	6.050187162
25.5_MSU977	B_Week 5	140	0.818842809	4.238578042
13.5_MSU977	A_Week 5	121	0.966117365	5.454181291
39.1_MSU977	A_Day -1	145	0.975988011	6.017234972
1.2_MSU977	A_Week 1	94	0.95344252	5.050254372
41.7_MSU977	B_Week 9	121	0.963692763	5.527643261
22.1_MSU977	A_Day -1	127	0.922302767	4.859043363
34.2_MSU977	B_Week 1	109	0.917572604	4.777042517
12.2_MSU977	A_Week 1	121	0.961299749	5.306406032
2.2_MSU977	B_Week 1	92	0.94799912	4.887787329
34.7_MSU977	B_Week 9	87	0.959861234	5.119480227
22.5_MSU977	A_Week 5	104	0.907303637	4.614790134
36.7_MSU977	B_Week 9	126	0.970663288	5.696490046
26.2_MSU977	A_Week 1	107	0.968952114	5.57170877
10.5_MSU977	B_Week 5	86	0.936626173	4.811668928
19.2_MSU977	B_Week 1	99	0.963806451	5.338905838
8.7_MSU977	B_Week 9	118	0.967247295	5.47956149
12.1_MSU977	A_Day -1	123	0.940405242	5.019252038
15.2_MSU977	A_Week 1	103	0.924358369	4.770043886
11.1_MSU977	B_Day -1	118	0.944515156	5.091646259
26.1_MSU977	A_Day -1	144	0.923471656	5.002272057
41.5_MSU977	B_Week 5	101	0.935348139	4.948286783
17.2_MSU977	A_Week 1	104	0.966625644	5.465145039
9.7_MSU977	A_Week 9	133	0.967537426	5.577843499
29.5_MSU977	B_Week 5	77	0.93799927	4.820538024
34.5_MSU977	B_Week 5	114	0.952823367	5.186745935
5.2_MSU977	A_Week 1	119	0.917037337	4.869787481
40.5_MSU977	B_Week 5	91	0.946099558	4.920745292
31.7_MSU977	A_Week 9	94	0.949153706	5.056167132
23.2_MSU977	A_Week 1	121	0.941750437	5.248924402
7.7_MSU977	B_Week 9	108	0.953178974	5.213851541
6.7_MSU977	B_Week 9	88	0.955834961	5.027734578
14.7_MSU977	A_Week 9	106	0.965980685	5.368277123
33.1_MSU977	A_Day -1	139	0.912977014	4.958992011
14.5_MSU977	A_Week 5	87	0.923180891	4.659806538
30.5_MSU977	B_Week 5	81	0.951970084	4.945560755
37.5_MSU977	A_Week 5	99	0.944888191	4.893837855
18.1_MSU977	B_Day -1	159	0.950688855	5.377690898
16.7_MSU977	B_Week 9	102	0.964885337	5.332399131
20.7_MSU977	B_Week 9	94	0.957486304	5.205685145
39.7_MSU977	A_Week 9	90	0.966261912	5.269422395
10.2_MSU977	B_Week 1	102	0.954635492	5.086891433
38.2_MSU977	B_Week 1	123	0.968561361	5.633537119
25.1_MSU977	B_Day -1	158	0.976665292	6.100357379
41.2_MSU977	B_Week 1	99	0.908960742	4.708157068
40.7_MSU977	B_Week 9	118	0.96967908	5.548211759
13.7_MSU977	A_Week 9	93	0.969179561	5.405542533
28.7_MSU977	A_Week 9	114	0.972309229	5.679792808
25.7_MSU977	B_Week 9	98	0.961595631	5.24035182
20.5_MSU977	B_Week 5	105	0.948599358	5.115386297
32.7_MSU977	A_Week 9	118	0.937424668	5.127560196
17.1_MSU977	A_Day -1	169	0.940527222	5.394408851
28.5_MSU977	A_Week 5	127	0.961260072	5.424201143
37.7_MSU977	A_Week 9	96	0.966042038	5.344465639
22.7_MSU977	A_Week 9	113	0.965298161	5.349943389
36.5_MSU977	B_Week 5	123	0.956147747	5.216929586
13.2_MSU977	A_Week 1	103	0.959738296	5.232589736
39.2_MSU977	A_Week 1	103	0.894370959	4.549680425
17.5_MSU977	A_Week 5	117	0.960522243	5.339763229
22.2_MSU977	A_Week 1	107	0.908331242	4.588907324
1.1_MSU977	A_Day -1	150	0.962931971	5.687296369
23.1_MSU977	A_Day -1	156	0.96221775	5.734422379
35.5_MSU977	A_Week 5	115	0.954115309	5.314627136
3.1_MSU977	B_Day -1	122	0.959966424	5.513299585
28.1_MSU977	A_Day -1	112	0.963130121	5.433582582
2.5_MSU977	B_Week 5	90	0.939616547	4.794185247
10.1_MSU977	B_Day -1	121	0.962042533	5.478343919
40.1_MSU977	B_Day -1	179	0.978647899	6.235106496
11.5_MSU977	B_Week 5	107	0.936572556	4.845321922
11.2_MSU977	B_Week 1	109	0.958437533	5.171179077
29.1r_MSU997	B_Day -1	127	0.969506747	5.704528437
40.2_MSU977	B_Week 1	124	0.870545444	4.510873692
16.5_MSU977	B_Week 5	103	0.95706062	5.222370466
14.2_MSU977	A_Week 1	114	0.953699155	5.20247646
5.5_MSU977	A_Week 5	98	0.937134861	4.810732872
7.2_MSU977	B_Week 1	97	0.94525135	4.95270412
32.2_MSU977	A_Week 1	128	0.793032975	3.974221722
6.5_MSU977	B_Week 5	80	0.940290784	4.669772425
23.5_MSU977	A_Week 5	118	0.934162871	5.037350104
8.5_MSU977	B_Week 5	109	0.955810277	5.070958375
36.2_MSU977	B_Week 1	121	0.918967174	4.732591137
15.5_MSU977	A_Week 5	89	0.927369514	4.592792148
12.5_MSU977	A_Week 5	103	0.929273823	4.729161499
9.2_MSU977	A_Week 1	143	0.959606845	5.417158985
3.7_MSU977	B_Week 9	95	0.949263212	5.102255038
30.7_MSU977	B_Week 9	94	0.955933384	5.065550293
28.2_MSU977	A_Week 1	121	0.936683937	5.143028807
11.7_MSU977	B_Week 9	89	0.963604224	5.232699495
25.2_MSU977	B_Week 1	111	0.961090622	5.282501213
5.1_MSU977	A_Day -1	129	0.95930379	5.432021313
2.7_MSU977	B_Week 9	77	0.958781392	5.051627859
32.5_MSU977	A_Week 5	111	0.885490955	4.492340393
9.1_MSU977	A_Day -1	178	0.972641516	6.103959139
26.7_MSU977	A_Week 9	130	0.963615545	5.582759357
3.5_MSU977	B_Week 5	89	0.929269491	4.600868938
29.2_MSU977	B_Week 1	115	0.918158046	4.921540122
18.5_MSU977	B_Week 5	94	0.94413273	4.917151501
21.5_MSU977	B_Week 5	103	0.949251518	5.139403198
7.5_MSU977	B_Week 5	98	0.860793726	4.220008962
8.1_MSU977	B_Day -1	115	0.95397697	5.095210588
17.7_MSU977	A_Week 9	109	0.967819771	5.468549439
24.5_MSU977	A_Week 5	170	0.794410711	4.193166687
21.2_MSU977	B_Week 1	115	0.956393871	5.242289784
38.7_MSU977	B_Week 9	112	0.936521363	5.059684857
9.5_MSU977	A_Week 5	112	0.950849209	5.109200798
31.5_MSU977	A_Week 5	112	0.953818443	5.252666744
5.7_MSU977	A_Week 9	108	0.96064189	5.364145413
35.7_MSU977	A_Week 9	117	0.969981052	5.58347277
8.2_MSU977	B_Week 1	130	0.94656835	5.164338289
36.1_MSU977	B_Day -1	163	0.946488473	5.39160695
30.1_MSU977	B_Day -1	104	0.956674214	5.265502078
4.7_MSU977	A_Week 9	124	0.967373669	5.616634027
3.2_MSU977	B_Week 1	95	0.9369469	4.786780935
10.7_MSU977	B_Week 9	91	0.937290967	4.74395811
31.2_MSU977	A_Week 1	117	0.818086341	4.027409764
35.1_MSU977	A_Day -1	93	0.938080664	4.801058676
15.7_MSU977	A_Week 9	129	0.952311838	5.279285189
4.2_MSU977	A_Week 1	71	0.941857471	4.58577709
38.5_MSU977	B_Week 5	119	0.955853778	5.292698514
18.7_MSU977	B_Week 9	132	0.964781697	5.634876429
33.5_MSU977	A_Week 5	106	0.937430378	4.952235749
33.7_MSU977	A_Week 9	147	0.971579518	5.860379888
12.7_MSU977	A_Week 9	79	0.961861295	5.135090139
34.1_MSU977	B_Day -1	183	0.978249176	6.306101549
33.2_MSU977	A_Week 1	116	0.931396586	4.956210223
26.5_MSU977	A_Week 5	117	0.949233966	5.215808453
24.2_MSU977	A_Week 1	102	0.94190471	4.960763911
1.5_MSU977	A_Week 5	110	0.949303993	5.100521066
20.1_MSU977	B_Day -1	174	0.971129288	6.001893587
35.2_MSU977	A_Week 1	92	0.906407787	4.476863354
39.5_MSU977	A_Week 5	116	0.945757217	5.131555529
24.7_MSU977	A_Week 9	104	0.970607713	5.528325559
15.1_MSU977	A_Day -1	162	0.975727386	6.139975933
37.1_MSU977	A_Day -1	144	0.955668294	5.368922014
38.1_MSU977	B_Day -1	149	0.959707386	5.602793781