sample_ID,Sequencing_ID,Name,study_ID,cow_ID,Group,Treatment,Cohort,sampling,Due_date,Suggested_dry_date,Block,enrolled,collection_date,days_tx,Time_tx,GN_sample_type,GN_CFU.g,GN_Amp_CFU.g,GN_Cef_CFU.g,GN_Amp_per,GN_Cef_per,GP_sample_type,GP_CFU.g,GP_Amp_CFU.g,GP_Cef_CFU.g,GP_Amp_per,GP_Cef_per,Metagenome,DNAext_date,DNA_volume_ul,Qubit_ng.ul,Nanodrop_ng.ul,X260.280,X260.230,DNAext_date2,DNA_volume_ul2,Qubit_ng.ul2,Nanodrop_ng.ul2,X260.280_2,X260.230_2,uidA,eaeA,stx2,stx1,Campy16S,Campy200bp
MA010.4,10.4,10.4_MSU977,MA010,5118,B,Antibiotic,B Week 3,4,9/5/19,7/3/19,2,Yes,7/24/19,21,Week 3,Fresh,5394736.84,5151.84,0,0.1,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA010.5,10.5,10.5_MSU977,MA010,5118,B,Antibiotic,B Week 5,5,9/5/19,7/3/19,2,Yes,8/7/19,35,Week 5,Fresh,142964.07,0,0,0,0,Frozen,NA,NA,NA,NA,NA,Yes,7/25/20,75,93.8,100.7,1.83,2.12,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA010.6,10.6,10.6_MSU977,MA010,5118,B,Antibiotic,B Week 7,6,9/5/19,7/3/19,2,Yes,8/21/19,49,Week 7,Fresh,26098.9,0,25,0,0.1,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA010.7,10.7,10.7_MSU977,MA010,5118,B,Antibiotic,B Week 9,7,9/5/19,7/3/19,2,Yes,9/4/19,63,Week 9,Fresh,1207070.71,14642.08,50,1.21,0,Frozen,NA,NA,NA,NA,NA,Yes,7/26/20,75,116,130.6,1.78,1.1,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA011.1,11.1,11.1_MSU977,MA011,4993,B,Antibiotic,B Day -1,1,9/5/19,7/3/19,2,Yes,7/2/19,-1,Day -1,Frozen,561403.51,16.67,0,0,0,Frozen,1400000,16700,712000,1.19,50.7,Yes,7/23/20,75,75.2,97.3,1.76,1.52,,NA,NA,NA,NA,NA,+,,f,NA,NA,NA
MA011.2,11.2,11.2_MSU977,MA011,4993,B,Antibiotic,B Week 1,2,9/5/19,7/3/19,2,Yes,7/10/19,7,Week 1,Frozen,201672.86,35600,0,17.65,0,Frozen,131000,15400,71800,11.71,54.79,Yes,7/24/20,75,47,59.6,1.8,1.46,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA011.3,11.3,11.3_MSU977,MA011,4993,B,Antibiotic,B Week 2,3,9/5/19,7/3/19,2,Yes,7/17/19,14,Week 2,Fresh,2164062.5,704.99,0,0.03,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA011.4,11.4,11.4_MSU977,MA011,4993,B,Antibiotic,B Week 3,4,9/5/19,7/3/19,2,Yes,7/24/19,21,Week 3,Fresh,4578947.37,7863.34,0,0.17,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA011.5,11.5,11.5_MSU977,MA011,4993,B,Antibiotic,B Week 5,5,9/5/19,7/3/19,2,Yes,8/7/19,35,Week 5,Fresh,1776315.79,7537.96,0,0.42,0,Frozen,NA,NA,NA,NA,NA,Yes,7/26/20,75,108,131.1,1.79,1.64,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA011.6,11.6,11.6_MSU977,MA011,4993,B,Antibiotic,B Week 7,6,9/5/19,7/3/19,2,Yes,8/21/19,49,Week 7,Fresh,1289473.68,216.92,0,0.02,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA011.7,11.7,11.7_MSU977,MA011,4993,B,Antibiotic,B Week 9,7,9/5/19,7/3/19,2,Yes,9/4/19,63,Week 9,Fresh,2263157.89,10086.77,75,0.45,0,Frozen,NA,NA,NA,NA,NA,Yes,7/27/20,75,142.8,162.8,1.85,1.71,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA012.1,12.1,12.1_MSU977,MA012,5048,A,Control,A Day -1,1,9/5/19,7/3/19,2,Yes,7/2/19,-1,Day -1,Frozen,210069.44,133.33,0,0.06,0,Frozen,480000,27100,110000,5.65,22.98,Yes,7/23/20,75,65.4,79.3,1.79,1.16,,NA,NA,NA,NA,NA,+,+,,NA,NA,NA
MA012.2,12.2,12.2_MSU977,MA012,5048,A,Control,A Week 1,2,9/5/19,7/3/19,2,Yes,7/10/19,7,Week 1,Frozen,171875,5966.67,0,3.47,0,Frozen,202000,16500,31700,8.17,15.69,Yes,7/25/20,75,63.2,70.8,1.82,1.83,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA012.3,12.3,12.3_MSU977,MA012,5048,A,Control,A Week 2,3,9/5/19,7/3/19,2,Yes,7/17/19,14,Week 2,Fresh,679687.5,17136.66,0,2.52,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA012.4,12.4,12.4_MSU977,MA012,5048,A,Control,A Week 3,4,9/5/19,7/3/19,2,Yes,7/24/19,21,Week 3,Fresh,1618421.05,4609.54,0,0.28,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA012.5,12.5,12.5_MSU977,MA012,5048,A,Control,A Week 5,5,9/5/19,7/3/19,2,Yes,8/7/19,35,Week 5,Fresh,989898.99,4555.31,0,0.46,0,Frozen,NA,NA,NA,NA,NA,Yes,7/26/20,75,114,129.8,1.79,1.45,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA012.6,12.6,12.6_MSU977,MA012,5048,A,Control,A Week 7,6,9/5/19,7/3/19,2,Yes,8/21/19,49,Week 7,Fresh,565656.57,1030.37,0,0.18,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA012.7,12.7,12.7_MSU977,MA012,5048,A,Control,A Week 9,7,9/5/19,7/3/19,2,Yes,9/4/19,63,Week 9,Fresh,148203.59,650.76,0,0.44,0,Frozen,NA,NA,NA,NA,NA,Yes,7/27/20,75,140,157.3,1.86,1.8,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA013.1,13.1,13.1_MSU977,MA013,5035,A,Control,A Day -1,1,9/5/19,7/3/19,2,Yes,7/2/19,-1,Day -1,Frozen,288194.44,33.33,0,0.01,0,Frozen,310000,14300,72900,4.61,23.56,Yes,7/23/20,75,61.6,73.2,1.79,1.16,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA013.2,13.2,13.2_MSU977,MA013,5035,A,Control,A Week 1,2,9/5/19,7/3/19,2,Yes,7/10/19,7,Week 1,Frozen,168402.78,566.67,0,0.34,0,Frozen,226000,8520,130000,3.77,57.56,Yes,7/25/20,75,83.8,96.5,1.76,0.48,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA013.3,13.3,13.3_MSU977,MA013,5035,A,Control,A Week 2,3,9/5/19,7/3/19,2,Yes,7/17/19,14,Week 2,Fresh,695312.5,6182.21,108.46,0.89,0.02,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA013.4,13.4,13.4_MSU977,MA013,5035,A,Control,A Week 3,4,9/5/19,7/3/19,2,Yes,7/24/19,21,Week 3,Fresh,1921052.63,8459.87,108.46,0.44,0.01,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA013.5,13.5,13.5_MSU977,MA013,5035,A,Control,A Week 5,5,9/5/19,7/3/19,2,Yes,8/7/19,35,Week 5,Fresh,165562.91,162.69,0,0.1,0,Frozen,NA,NA,NA,NA,NA,Yes,7/26/20,75,102,111.1,1.81,1.5,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA013.6,13.6,13.6_MSU977,MA013,5035,A,Control,A Week 7,6,9/5/19,7/3/19,2,Yes,8/21/19,49,Week 7,Fresh,2276315.79,704.99,75,0.03,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA013.7,13.7,13.7_MSU977,MA013,5035,A,Control,A Week 9,7,9/5/19,7/3/19,2,Yes,9/4/19,63,Week 9,Fresh,1368421.05,325.38,50,0.02,0,Frozen,NA,NA,NA,NA,NA,Yes,7/27/20,75,112,127.1,1.85,2.13,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA014.1,14.1,14.1_MSU977,MA014,5156,A,Control,A Day -1,1,9/5/19,7/3/19,2,Yes,7/2/19,-1,Day -1,Frozen,149628.25,0,0,0,0,Frozen,737000,30700,107000,4.17,14.49,Yes,7/23/20,75,102,124,1.78,0.53,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA014.2,14.2,14.2_MSU977,MA014,5156,A,Control,A Week 1,2,9/5/19,7/3/19,2,Yes,7/10/19,7,Week 1,Frozen,111915.37,833.33,100,0.74,0.09,Frozen,199000,17000,49600,8.51,24.94,Yes,7/25/20,75,93.8,101.3,1.8,1.05,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA014.3,14.3,14.3_MSU977,MA014,5156,A,Control,A Week 2,3,9/5/19,7/3/19,2,Yes,7/17/19,14,Week 2,Fresh,5.00E+05,54.23,0,0.01,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA014.4,14.4,14.4_MSU977,MA014,5156,A,Control,A Week 3,4,9/5/19,7/3/19,2,Yes,7/24/19,21,Week 3,Fresh,1828947.37,704.99,0,0.04,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA014.5,14.5,14.5_MSU977,MA014,5156,A,Control,A Week 5,5,9/5/19,7/3/19,2,Yes,8/7/19,35,Week 5,Fresh,5227.88,54.23,0,1.04,0,Frozen,NA,NA,NA,NA,NA,Yes,7/26/20,75,85.6,92,1.8,1.59,,NA,NA,NA,NA,NA,-,,,NA,+,+
MA014.6,14.6,14.6_MSU977,MA014,5156,A,Control,A Week 7,6,9/5/19,7/3/19,2,Yes,8/21/19,49,Week 7,Fresh,14879.36,54.23,0,0.36,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA014.7,14.7,14.7_MSU977,MA014,5156,A,Control,A Week 9,7,9/5/19,7/3/19,2,Yes,9/4/19,63,Week 9,Fresh,929292.93,12744.03,150,1.37,0.02,Frozen,NA,NA,NA,NA,NA,Yes,7/27/20,75,175.6,192,1.82,1.93,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA015.1,15.1,15.1_MSU977,MA015,5246,A,Control,A Day -1,1,9/5/19,7/3/19,2,Yes,7/2/19,-1,Day -1,Frozen,230902.78,0,0,0,0,Frozen,545000,18200,171000,3.34,31.35,Yes,7/23/20,75,53.4,70.2,1.8,0.59,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA015.2,15.2,15.2_MSU977,MA015,5246,A,Control,A Week 1,2,9/5/19,7/3/19,2,Yes,7/10/19,7,Week 1,Frozen,434210.53,2500,12.5,0.58,0,Frozen,214000,10300,98000,4.8,45.78,Yes,7/25/20,75,64.8,76.7,1.81,1.04,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA015.3,15.3,15.3_MSU977,MA015,5246,A,Control,A Week 2,3,9/5/19,7/3/19,2,Yes,7/17/19,14,Week 2,Fresh,640625,2874.19,0,0.45,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA015.4,15.4,15.4_MSU977,MA015,5246,A,Control,A Week 3,4,9/5/19,7/3/19,2,Yes,7/24/19,21,Week 3,Fresh,1697368.42,1138.83,0,0.07,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA015.5,15.5,15.5_MSU977,MA015,5246,A,Control,A Week 5,5,9/5/19,7/3/19,2,Yes,8/7/19,35,Week 5,Fresh,155688.62,0,0,0,0,Frozen,NA,NA,NA,NA,NA,Yes,7/26/20,75,114,130.1,1.81,1.5,,NA,NA,NA,NA,NA,-,,,NA,+,+
MA015.6,15.6,15.6_MSU977,MA015,5246,A,Control,A Week 7,6,9/5/19,7/3/19,2,Yes,8/21/19,49,Week 7,Fresh,96026.49,433.84,0,0.45,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA015.7,15.7,15.7_MSU977,MA015,5246,A,Control,A Week 9,7,9/5/19,7/3/19,2,Yes,9/4/19,63,Week 9,Fresh,686868.69,11605.21,75,1.69,0.01,Frozen,NA,NA,NA,NA,NA,Yes,7/27/20,75,58.4,68.6,1.81,1.46,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA016.1,16.1,16.1_MSU977,MA016,5121,B,Antibiotic,B Day -1,1,9/12/19,7/10/19,3,Yes,7/9/19,-1,Day -1,Frozen,437500,10800,2880.03,2.47,0.66,Frozen,293000,10700,87800,3.64,29.93,Yes,7/24/20,75,108,127.3,1.81,0.66,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA016.2,16.2,16.2_MSU977,MA016,5121,B,Antibiotic,B Week 1,2,9/12/19,7/10/19,3,Yes,7/17/19,7,Week 1,Fresh,625000,10520.61,0,1.68,0,Frozen,184000,4950,36700,2.69,20,Yes,7/25/20,75,77,95.8,1.77,1.24,,NA,NA,NA,NA,NA,-,,,NA,+,+
MA016.3,16.3,16.3_MSU977,MA016,5121,B,Antibiotic,B Week 2,3,9/12/19,7/10/19,3,Yes,7/24/19,14,Week 2,Fresh,908168.86,4157.63,36.15,0.46,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA016.4,16.4,16.4_MSU977,MA016,5121,B,Antibiotic,B Week 3,4,9/12/19,7/10/19,3,Yes,7/31/19,21,Week 3,Fresh,223958.33,14099.78,0,6.3,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA016.5,16.5,16.5_MSU977,MA016,5121,B,Antibiotic,B Week 5,5,9/12/19,7/10/19,3,Yes,8/15/19,36,Week 5,Fresh,9514.3,190.55,0,2,0,Frozen,NA,NA,NA,NA,NA,Yes,7/26/20,75,110,113.1,1.8,1.96,,NA,NA,NA,NA,NA,-,,,NA,+,+
MA016.6,16.6,16.6_MSU977,MA016,5121,B,Antibiotic,B Week 7,6,9/12/19,7/10/19,3,Yes,8/28/19,49,Week 7,Fresh,489898.99,162.69,0,0.03,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA016.7,16.7,16.7_MSU977,MA016,5121,B,Antibiotic,B Week 9,7,9/12/19,7/10/19,3,Yes,9/11/19,63,Week 9,Fresh,651515.15,2114.97,0,0.32,0,Frozen,NA,NA,NA,NA,NA,Yes,7/27/20,75,114,127.5,1.81,2.07,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA017.1,17.1,17.1_MSU977,MA017,5258,A,Control,A Day -1,1,9/12/19,7/10/19,3,Yes,7/9/19,-1,Day -1,Frozen,513157.89,4300,137.5,0.84,0.03,Frozen,230000,8520,111000,3.7,48.04,Yes,7/24/20,75,120,131,1.83,2.17,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA017.2,17.2,17.2_MSU977,MA017,5258,A,Control,A Week 1,2,9/12/19,7/10/19,3,Yes,7/17/19,7,Week 1,Fresh,1273437.5,40089.09,0,3.15,0,Frozen,278000,2100,38400,0.76,13.81,Yes,7/25/20,75,108,117.1,1.81,2.11,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA017.3,17.3,17.3_MSU977,MA017,5258,A,Control,A Week 2,3,9/12/19,7/10/19,3,Yes,7/24/19,14,Week 2,Fresh,1171052.63,867.68,0,0.07,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA017.4,17.4,17.4_MSU977,MA017,5258,A,Control,A Week 3,4,9/12/19,7/10/19,3,Yes,7/31/19,21,Week 3,Fresh,813131.31,70065.08,0,8.62,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA017.5,17.5,17.5_MSU977,MA017,5258,A,Control,A Week 5,5,9/12/19,7/10/19,3,Yes,8/15/19,36,Week 5,Fresh,150662.25,433.84,0,0.29,0,Frozen,NA,NA,NA,NA,NA,Yes,7/26/20,75,96,121,1.8,1.04,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA017.6,17.6,17.6_MSU977,MA017,5258,A,Control,A Week 7,6,9/12/19,7/10/19,3,Yes,8/28/19,49,Week 7,Fresh,994949.49,0,0,0,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA017.7,17.7,17.7_MSU977,MA017,5258,A,Control,A Week 9,7,9/12/19,7/10/19,3,Yes,9/11/19,63,Week 9,Fresh,208609.27,17605.63,0,8.44,0,Frozen,NA,NA,NA,NA,NA,Yes,7/27/20,75,96.8,109.9,1.79,1.97,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA018.1,18.1,18.1_MSU977,MA018,4838,B,Antibiotic,B Day -1,1,9/12/19,7/10/19,2,Yes,7/9/19,-1,Day -1,Frozen,684027.78,14933.33,0,2.18,0,Frozen,168000,13500,45400,8.05,27.07,Yes,7/24/20,75,79.4,97.5,1.83,1.51,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA018.2,18.2,18.2_MSU977,MA018,4838,B,Antibiotic,B Week 1,2,9/12/19,7/10/19,2,Yes,7/17/19,7,Week 1,Fresh,1039062.5,3036.88,0,0.29,0,Frozen,253000,10100,15300,4,6.04,Yes,7/25/20,75,77,84.6,1.81,1.42,,NA,NA,NA,NA,NA,f,,,NA,+,+
MA018.3,18.3,18.3_MSU977,MA018,4838,B,Antibiotic,B Week 2,3,9/12/19,7/10/19,2,Yes,7/24/19,14,Week 2,Fresh,1210526.32,4338.39,0,0.36,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA018.4,18.4,18.4_MSU977,MA018,4838,B,Antibiotic,B Week 3,4,9/12/19,7/10/19,2,Yes,7/31/19,21,Week 3,Fresh,580808.08,16702.82,54.23,2.88,0.01,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA018.5,18.5,18.5_MSU977,MA018,4838,B,Antibiotic,B Week 5,5,9/12/19,7/10/19,2,Yes,8/15/19,36,Week 5,Fresh,9441.8,103.33,0,1.09,0,Frozen,NA,NA,NA,NA,NA,Yes,7/26/20,75,98,111.3,1.84,0.66,,NA,NA,NA,NA,NA,-,,,NA,+,+
MA018.6,18.6,18.6_MSU977,MA018,4838,B,Antibiotic,B Week 7,6,9/12/19,7/10/19,2,Yes,8/28/19,49,Week 7,Fresh,182119.21,162.69,0,0.09,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA018.7,18.7,18.7_MSU977,MA018,4838,B,Antibiotic,B Week 9,7,9/12/19,7/10/19,2,Yes,9/11/19,63,Week 9,Fresh,228476.82,162.69,0,0.07,0,Frozen,NA,NA,NA,NA,NA,Yes,7/27/20,75,112,125.6,1.82,2.09,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA019.1,19.1,19.1_MSU977,MA019,4989,B,Antibiotic,B Day -1,1,9/12/19,7/10/19,3,Yes,7/9/19,-1,Day -1,Frozen,429824.56,5320,50,1.24,0.01,Frozen,109000,8700,86000,7.96,78.67,Yes,7/24/20,75,126.8,155.8,1.84,2.2,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA019.2,19.2,19.2_MSU977,MA019,4989,B,Antibiotic,B Week 1,2,9/12/19,7/10/19,3,Yes,7/17/19,7,Week 1,Fresh,1312500,38394.79,813.45,2.93,0.06,Frozen,1690000,1250,175000,0.07,10.33,Yes,7/25/20,75,106,110.4,1.83,1.97,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA019.3,19.3,19.3_MSU977,MA019,4989,B,Antibiotic,B Week 2,3,9/12/19,7/10/19,3,Yes,7/24/19,14,Week 2,Fresh,2763157.89,11334.06,4446.85,0.41,0.16,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA019.4,19.4,19.4_MSU977,MA019,4989,B,Antibiotic,B Week 3,4,9/12/19,7/10/19,3,Yes,7/31/19,21,Week 3,Fresh,3684210.53,38975.5,54.23,1.06,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA019.5,19.5,19.5_MSU977,MA019,4989,B,Antibiotic,B Week 5,5,9/12/19,7/10/19,3,Yes,8/15/19,36,Week 5,Fresh,1815789.47,54.23,0,0,0,Frozen,NA,NA,NA,NA,NA,Yes,7/26/20,75,94.2,99.8,1.82,1.88,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA019.6,19.6,19.6_MSU977,MA019,4989,B,Antibiotic,B Week 7,6,9/12/19,7/10/19,3,Yes,8/28/19,49,Week 7,Fresh,2065789.47,26681.13,0,1.29,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA019.7,19.7,19.7_MSU977,MA019,4989,B,Antibiotic,B Week 9,7,9/12/19,7/10/19,3,Yes,9/11/19,63,Week 9,Fresh,1302631.58,379.61,0,0.03,0,Frozen,NA,NA,NA,NA,NA,Yes,7/27/20,75,100,113.7,1.81,1.71,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA020.1,20.1,20.1_MSU977,MA020,5024,B,Antibiotic,B Day -1,1,9/19/19,7/10/19,3,Yes,7/9/19,-1,Day -1,Frozen,390625,5800,25,1.48,0.01,Frozen,194000,5880,24500,3.03,12.63,Yes,7/24/20,75,87.6,89.2,1.88,0.31,7/29/20,75,85.6,106.6,1.83,1.17,+,,,NA,NA,NA
MA020.2,20.2,20.2_MSU977,MA020,5024,B,Antibiotic,B Week 1,2,9/19/19,7/10/19,3,Yes,7/17/19,7,Week 1,Fresh,882812.5,12581.34,2386.12,1.43,0.27,Frozen,201000,1880,32000,0.93,15.96,Yes,7/25/20,75,77.2,88.5,1.79,1.21,,NA,NA,NA,NA,NA,-,,,NA,+,+
MA020.3,20.3,20.3_MSU977,MA020,5024,B,Antibiotic,B Week 2,3,9/19/19,7/10/19,3,Yes,7/24/19,14,Week 2,Fresh,789562.29,3796.1,0,0.48,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA020.4,20.4,20.4_MSU977,MA020,5024,B,Antibiotic,B Week 3,4,9/19/19,7/10/19,3,Yes,7/31/19,21,Week 3,Fresh,206586.83,53796.1,0,26.04,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
