sample_ID,Sequencing_ID,Name,study_ID,cow_ID,Group,Treatment,Cohort,sampling,Due_date,Suggested_dry_date,Block,enrolled,collection_date,days_tx,Time_tx,GN_sample_type,GN_CFU.g,GN_Amp_CFU.g,GN_Cef_CFU.g,GN_Amp_per,GN_Cef_per,GP_sample_type,GP_CFU.g,GP_Amp_CFU.g,GP_Cef_CFU.g,GP_Amp_per,GP_Cef_per,Metagenome,DNAext_date,DNA_volume_ul,Qubit_ng.ul,Nanodrop_ng.ul,X260.280,X260.230,DNAext_date2,DNA_volume_ul2,Qubit_ng.ul2,Nanodrop_ng.ul2,X260.280_2,X260.230_2,uidA,eaeA,stx2,stx1,Campy16S,Campy200bp
MA020.5,20.5,20.5_MSU977,MA020,5024,B,Antibiotic,B Week 5,5,9/19/19,7/10/19,3,Yes,8/15/19,36,Week 5,Fresh,444444.44,56792.87,0,12.78,0,Frozen,NA,NA,NA,NA,NA,Yes,7/26/20,75,112,136.9,1.83,0.84,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA020.6,20.6,20.6_MSU977,MA020,5024,B,Antibiotic,B Week 7,6,9/19/19,7/10/19,3,Yes,8/28/19,49,Week 7,Fresh,221854.3,108.46,0,0.05,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA020.7,20.7,20.7_MSU977,MA020,5024,B,Antibiotic,B Week 9,7,9/19/19,7/10/19,3,Yes,9/11/19,63,Week 9,Fresh,2052631.58,2548.81,0,0.12,0,Frozen,NA,NA,NA,NA,NA,Yes,7/27/20,75,61.6,74.7,1.83,1.61,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA021.1,21.1,21.1_MSU977,MA021,5120,B,Antibiotic,B Day -1,1,9/12/19,7/10/19,3,Yes,7/9/19,-1,Day -1,Frozen,230902.78,5333.33,12.5,2.31,0.01,Frozen,175000,8100,67800,4.62,38.66,Yes,7/24/20,75,90.8,107.3,1.86,0.93,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA021.2,21.2,21.2_MSU977,MA021,5120,B,Antibiotic,B Week 1,2,9/12/19,7/10/19,3,Yes,7/17/19,7,Week 1,Fresh,140728.48,8242.95,54.23,5.86,0.04,Frozen,276000,22500,132000,8.15,47.83,Yes,7/25/20,75,87,95.8,1.79,1.21,,NA,NA,NA,NA,NA,f,,,NA,+,+
MA021.3,21.3,21.3_MSU977,MA021,5120,B,Antibiotic,B Week 2,3,9/12/19,7/10/19,3,Yes,7/24/19,14,Week 2,Fresh,2210526.32,47397.77,54.23,2.14,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA021.4,21.4,21.4_MSU977,MA021,5120,B,Antibiotic,B Week 3,4,9/12/19,7/10/19,3,Yes,7/31/19,21,Week 3,Fresh,2473684.21,41202.67,54.23,1.67,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA021.5,21.5,21.5_MSU977,MA021,5120,B,Antibiotic,B Week 5,5,9/12/19,7/10/19,3,Yes,8/15/19,36,Week 5,Fresh,226821.19,921.91,0,0.41,0,Frozen,NA,NA,NA,NA,NA,Yes,7/26/20,75,136.4,159.1,1.8,1.09,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA021.6,21.6,21.6_MSU977,MA021,5120,B,Antibiotic,B Week 7,6,9/12/19,7/10/19,3,Yes,8/28/19,49,Week 7,Fresh,84545.45,54.23,0,0.06,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA021.7,21.7,21.7_MSU977,MA021,5120,B,Antibiotic,B Week 9,7,9/12/19,7/10/19,3,Yes,9/11/19,63,Week 9,Fresh,114545.45,4067.25,0,3.55,0,Frozen,NA,NA,NA,NA,NA,Yes,7/27/20,75,116,124.8,1.79,1.84,,NA,NA,NA,NA,NA,-,,,NA,+,vf
MA022.1,22.1,22.1_MSU977,MA022,5240,A,Control,A Day -1,1,9/19/19,7/17/19,3,Yes,7/17/19,0,Day -1,Fresh,742187.5,5368.76,1681.13,0.72,0.23,Frozen,965000,5250,130000,0.54,13.49,Yes,7/25/20,75,77.4,90.9,1.79,1.42,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA022.2,22.2,22.2_MSU977,MA022,5240,A,Control,A Week 1,2,9/19/19,7/17/19,3,Yes,7/24/19,7,Week 1,Fresh,7868421.05,2386.12,0,0.03,0,Frozen,1280000,6500,337000,0.51,26.25,Yes,7/25/20,75,87,89.9,1.84,0.43,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA022.3,22.3,22.3_MSU977,MA022,5240,A,Control,A Week 2,3,9/19/19,7/17/19,3,Yes,7/31/19,14,Week 2,Fresh,2118421.05,1824561.4,0,86.13,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA022.4,22.4,22.4_MSU977,MA022,5240,A,Control,A Week 3,4,9/19/19,7/17/19,3,Yes,8/7/19,21,Week 3,Fresh,5.00E+05,439236.11,0,87.85,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA022.5,22.5,22.5_MSU977,MA022,5240,A,Control,A Week 5,5,9/19/19,7/17/19,3,Yes,8/21/19,35,Week 5,Fresh,215231.79,7429.5,0,3.45,0,Frozen,NA,NA,NA,NA,NA,Yes,7/26/20,75,89.4,104.5,1.77,1.91,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA022.6,22.6,22.6_MSU977,MA022,5240,A,Control,A Week 7,6,9/19/19,7/17/19,3,Yes,9/4/19,49,Week 7,Fresh,91818.18,596.53,0,0.65,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA022.7,22.7,22.7_MSU977,MA022,5240,A,Control,A Week 9,7,9/19/19,7/17/19,3,Yes,9/18/19,63,Week 9,Fresh,2223684.21,921.91,0,0.04,0,Frozen,NA,NA,NA,NA,NA,Yes,7/28/20,75,76.8,121.6,1.78,1.26,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA023.1,23.1,23.1_MSU977,MA023,5256,A,Control,A Day -1,1,9/19/19,7/17/19,3,Yes,7/17/19,0,Day -1,Fresh,796875,0,0,0,0,Frozen,210000,4480,123000,2.14,58.57,Yes,7/25/20,75,58.8,72.1,1.8,1.25,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA023.2,23.2,23.2_MSU977,MA023,5256,A,Control,A Week 1,2,9/19/19,7/17/19,3,Yes,7/24/19,7,Week 1,Fresh,3421052.63,5043.38,0,0.15,0,Frozen,286000,5880,238000,2.05,83.04,Yes,7/25/20,75,136.8,147,1.79,1.59,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA023.3,23.3,23.3_MSU977,MA023,5256,A,Control,A Week 2,3,9/19/19,7/17/19,3,Yes,7/31/19,14,Week 2,Fresh,3342105.26,24498.89,54.23,0.73,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA023.4,23.4,23.4_MSU977,MA023,5256,A,Control,A Week 3,4,9/19/19,7/17/19,3,Yes,8/7/19,21,Week 3,Fresh,1750000,433.84,0,0.02,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA023.5,23.5,23.5_MSU977,MA023,5256,A,Control,A Week 5,5,9/19/19,7/17/19,3,Yes,8/21/19,35,Week 5,Fresh,2236842.11,20774.65,0,0.93,0,Frozen,NA,NA,NA,NA,NA,Yes,7/26/20,75,104,122.5,1.81,2.06,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA023.6,23.6,23.6_MSU977,MA023,5256,A,Control,A Week 7,6,9/19/19,7/17/19,3,Yes,9/4/19,49,Week 7,Fresh,1013157.89,379.61,25,0.04,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA023.7,23.7,23.7_MSU977,MA023,5256,A,Control,A Week 9,7,9/19/19,7/17/19,3,Yes,9/18/19,63,Week 9,Fresh,530303.03,1681.13,0,0.32,0,Frozen,NA,NA,NA,NA,NA,Yes,7/28/20,75,115.6,172.6,1.79,0.93,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA024.1,24.1,24.1_MSU977,MA024,5034,A,Control,A Day -1,1,9/26/19,7/24/19,3,Yes,7/23/19,-1,Day -1,Fresh,1697368.42,3199.57,108.46,0.19,0.01,Frozen,268000,7430,102000,2.77,38.12,Yes,7/25/20,75,84.4,94.9,1.79,0.83,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA024.2,24.2,24.2_MSU977,MA024,5034,A,Control,A Week 1,2,9/26/19,7/24/19,3,Yes,7/31/19,7,Week 1,Fresh,1090909.09,29501.08,108.46,2.7,0.01,Frozen,513000,16900,339000,3.3,66.01,Yes,7/25/20,75,120,120.2,1.83,0.92,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA024.3,24.3,24.3_MSU977,MA024,5034,A,Control,A Week 2,3,9/26/19,7/24/19,3,Yes,8/7/19,14,Week 2,Fresh,707070.71,0,0,0,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA024.4,24.4,24.4_MSU977,MA024,5034,A,Control,A Week 3,4,9/26/19,7/24/19,3,Yes,8/15/19,22,Week 3,Fresh,372516.56,54.23,0,0.01,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA024.5,24.5,24.5_MSU977,MA024,5034,A,Control,A Week 5,5,9/26/19,7/24/19,3,Yes,8/28/19,35,Week 5,Fresh,767676.77,271.15,0,0.04,0,Frozen,NA,NA,NA,NA,NA,Yes,7/26/20,75,104,135.3,1.77,1.76,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA024.6,24.6,24.6_MSU977,MA024,5034,A,Control,A Week 7,6,9/26/19,7/24/19,3,Yes,9/11/19,49,Week 7,Fresh,752525.25,325.38,25,0.04,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA024.7,24.7,24.7_MSU977,MA024,5034,A,Control,A Week 9,7,9/26/19,7/24/19,3,Yes,9/25/19,63,Week 9,Fresh,1394736.84,7321.04,0,0.52,0,Frozen,NA,NA,NA,NA,NA,Yes,7/28/20,75,97.6,144.6,1.79,0.78,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA025.1,25.1,25.1_MSU977,MA025,5273,B,Antibiotic,B Day -1,1,9/26/19,7/24/19,4,Yes,7/24/19,0,Day -1,Fresh,1092105.26,112608.43,0,10.31,0,Frozen,1290000,44400,231000,3.43,17.86,Yes,7/25/20,75,71,81.1,1.79,1.51,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA025.2,25.2,25.2_MSU977,MA025,5273,B,Antibiotic,B Week 1,2,9/26/19,7/24/19,4,Yes,7/31/19,7,Week 1,Fresh,143706.95,28383.11,80.64,19.75,0.06,Frozen,571000,6960,132000,1.22,23.12,Yes,7/25/20,75,116,114.5,1.83,0.93,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA025.3,25.3,25.3_MSU977,MA025,5273,B,Antibiotic,B Week 2,3,9/26/19,7/24/19,4,Yes,8/7/19,14,Week 2,Fresh,707070.71,0,0,0,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA025.4,25.4,25.4_MSU977,MA025,5273,B,Antibiotic,B Week 3,4,9/26/19,7/24/19,4,Yes,8/15/19,22,Week 3,Fresh,163173.65,54.23,0,0.03,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA025.5,25.5,25.5_MSU977,MA025,5273,B,Antibiotic,B Week 5,5,9/26/19,7/24/19,4,Yes,8/28/19,35,Week 5,Fresh,140728.48,325.38,0,0.23,0,Frozen,NA,NA,NA,NA,NA,Yes,7/26/20,75,96,110.6,1.78,1.3,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA025.6,25.6,25.6_MSU977,MA025,5273,B,Antibiotic,B Week 7,6,9/26/19,7/24/19,4,Yes,9/11/19,49,Week 7,Fresh,152317.88,271.15,0,0.18,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA025.7,25.7,25.7_MSU977,MA025,5273,B,Antibiotic,B Week 9,7,9/26/19,7/24/19,4,Yes,9/25/19,63,Week 9,Fresh,388888.89,325.38,0,0.08,0,Frozen,NA,NA,NA,NA,NA,Yes,7/28/20,75,101.6,141,1.76,1.48,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA026.1,26.1,26.1_MSU977,MA026,5149,A,Control,A Day -1,1,10/2/19,7/31/19,4,Yes,7/30/19,-1,Day -1,Fresh,1157894.74,596.53,0,0.05,0,Frozen,672000,200,64000,0.03,9.53,Yes,7/25/20,75,77,91.4,1.83,2.05,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA026.2,26.2,26.2_MSU977,MA026,5149,A,Control,A Week 1,2,10/2/19,7/31/19,4,Yes,8/7/19,7,Week 1,Fresh,1592105.26,1789.59,0,0.11,0,Frozen,298000,125,12700,0.04,4.26,Yes,7/26/20,75,71.2,89.4,1.83,2.14,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA026.3,26.3,26.3_MSU977,MA026,5149,A,Control,A Week 2,3,10/2/19,7/31/19,4,Yes,8/15/19,15,Week 2,Fresh,727272.73,162.69,0,0.02,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA026.4,26.4,26.4_MSU977,MA026,5149,A,Control,A Week 3,4,10/2/19,7/31/19,4,Yes,8/21/19,21,Week 3,Fresh,1727272.73,88754.65,0,5.14,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA026.5,26.5,26.5_MSU977,MA026,5149,A,Control,A Week 5,5,10/2/19,7/31/19,4,Yes,9/4/19,35,Week 5,Fresh,934343.43,2386.12,0,0.26,0,Frozen,NA,NA,NA,NA,NA,Yes,7/27/20,75,89.2,95.4,1.8,1.41,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA026.6,26.6,26.6_MSU977,MA026,5149,A,Control,A Week 7,6,10/2/19,7/31/19,4,Yes,9/18/19,49,Week 7,Fresh,808080.81,0,0,0,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA026.7,26.7,26.7_MSU977,MA026,5149,A,Control,A Week 9,7,10/2/19,7/31/19,4,Yes,10/3/19,64,Week 9,Fresh,1636363.64,433.84,0,0.03,0,Frozen,NA,NA,NA,NA,NA,Yes,7/28/20,75,72,104.2,1.84,1.97,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA027.1,27.1,27.1_MSU977,MA027,5243,A,Control,A Day -1,1,10/10/19,8/7/19,4,No,8/6/19,-1,Day -1,Fresh,358585.86,0,0,0,0,Frozen,NA,NA,NA,NA,NA,No,7/25/20,75,100,114.5,1.83,0.93,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA028.1,28.1,28.1_MSU977,MA028,5206,A,Control,A Day -1,1,10/10/19,8/7/19,4,Yes,8/6/19,-1,Day -1,Fresh,81818.18,1247.29,0,1.52,0,Frozen,295000,10400,24300,3.54,8.24,Yes,7/25/20,75,104,119.6,1.83,0.61,,NA,NA,NA,NA,NA,-,,,NA,vf,+
MA028.2,28.2,28.2_MSU977,MA028,5206,A,Control,A Week 1,2,10/10/19,8/7/19,4,Yes,8/15/19,8,Week 1,Fresh,22772.92,1824.58,237.2,8.01,1.04,Frozen,1120000,9830,37300,0.88,3.33,Yes,7/26/20,75,114,130.1,1.8,2.09,,NA,NA,NA,NA,NA,-,,,NA,+,+
MA028.3,28.3,28.3_MSU977,MA028,5206,A,Control,A Week 2,3,10/10/19,8/7/19,4,Yes,8/21/19,14,Week 2,Fresh,666666.67,79621.38,75,11.94,0.01,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA028.4,28.4,28.4_MSU977,MA028,5206,A,Control,A Week 3,4,10/10/19,8/7/19,4,Yes,8/28/19,21,Week 3,Fresh,55898.12,271.15,0,0.49,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA028.5,28.5,28.5_MSU977,MA028,5206,A,Control,A Week 5,5,10/10/19,8/7/19,4,Yes,9/11/19,35,Week 5,Fresh,19437,0,0,0,0,Frozen,NA,NA,NA,NA,NA,Yes,7/27/20,75,97,104.2,1.78,1.11,,NA,NA,NA,NA,NA,-,,,NA,+,+
MA028.6,28.6,28.6_MSU977,MA028,5206,A,Control,A Week 7,6,10/10/19,8/7/19,4,Yes,9/25/19,49,Week 7,Fresh,37399.46,0,0,0,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA028.7,28.7,28.7_MSU977,MA028,5206,A,Control,A Week 9,7,10/10/19,8/7/19,4,Yes,10/9/19,63,Week 9,Fresh,26005.36,116.73,0,0.45,0,Frozen,NA,NA,NA,NA,NA,Yes,7/28/20,75,104,116.5,1.85,1.35,,NA,NA,NA,NA,NA,-,,,NA,+,+
MA029.1,29.1,29.1r_MSU997,MA029,5252,B,Antibiotic,B Day -1,1,10/10/19,8/7/19,4,Yes,8/6/19,-1,Day -1,Fresh,944444.44,991228.07,0,104.95,0,Frozen,1480000,21700,102000,1.47,6.92,Yes,7/25/20,75,94.2,102.6,1.83,0.56,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA029.2,29.2,29.2_MSU977,MA029,5252,B,Antibiotic,B Week 1,2,10/10/19,8/7/19,4,Yes,8/15/19,8,Week 1,Fresh,691919.19,2386.12,0,0.34,0,Frozen,843000,8030,85200,0.95,10.1,Yes,7/26/20,75,84,92.2,1.82,1.69,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA029.3,29.3,29.3_MSU977,MA029,5252,B,Antibiotic,B Week 2,3,10/10/19,8/7/19,4,Yes,8/21/19,14,Week 2,Fresh,717171.72,34242.76,0,4.77,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA029.4,29.4,29.4_MSU977,MA029,5252,B,Antibiotic,B Week 3,4,10/10/19,8/7/19,4,Yes,8/28/19,21,Week 3,Fresh,1070707.07,271.15,0,0.03,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA029.5,29.5,29.5_MSU977,MA029,5252,B,Antibiotic,B Week 5,5,10/10/19,8/7/19,4,Yes,9/11/19,35,Week 5,Fresh,211077.84,162.69,0,0.08,0,Frozen,NA,NA,NA,NA,NA,Yes,7/27/20,75,73,79.5,1.79,1.99,,NA,NA,NA,NA,NA,f,,,NA,vf,+
MA030.1,30.1,30.1_MSU977,MA030,5154,B,Antibiotic,B Day -1,1,10/24/19,8/21/19,4,Yes,8/20/19,-1,Day -1,Fresh,72847.68,108.46,0,0.15,0,Frozen,641000,30800,104000,4.8,16.23,Yes,7/26/20,75,64.8,88.4,1.79,1.43,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA030.2,30.2,30.2_MSU977,MA030,5154,B,Antibiotic,B Week 1,2,10/24/19,8/21/19,4,Yes,8/28/19,7,Week 1,Fresh,143636.36,704.99,0,0.49,0,Frozen,578000,105000,285000,18.17,49.28,Yes,7/26/20,75,85.8,118.3,1.78,1.25,,NA,NA,NA,NA,NA,f,,,NA,+,+
MA030.3,30.3,30.3_MSU977,MA030,5154,B,Antibiotic,B Week 2,3,10/24/19,8/21/19,4,Yes,9/4/19,14,Week 2,Fresh,243636.36,1084.6,0,0.45,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA030.4,30.4,30.4_MSU977,MA030,5154,B,Antibiotic,B Week 3,4,10/24/19,8/21/19,4,Yes,9/11/19,21,Week 3,Fresh,51474.53,54.23,0,0.11,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA030.5,30.5,30.5_MSU977,MA030,5154,B,Antibiotic,B Week 5,5,10/24/19,8/21/19,4,Yes,9/25/19,35,Week 5,Fresh,94311.38,54.23,0,0.06,0,Frozen,NA,NA,NA,NA,NA,Yes,7/28/20,75,85.6,109.5,1.76,0.86,,NA,NA,NA,NA,NA,f,,,NA,f,+
MA030.6,30.6,30.6_MSU977,MA030,5154,B,Antibiotic,B Week 7,6,10/24/19,8/21/19,4,Yes,10/9/19,49,Week 7,Fresh,3782.16,81.25,0,2.15,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA030.7,30.7,30.7_MSU977,MA030,5154,B,Antibiotic,B Week 9,7,10/24/19,8/21/19,4,Yes,10/23/19,63,Week 9,Fresh,1753.22,70.86,0,4.04,0,Frozen,NA,NA,NA,NA,NA,Yes,7/28/20,75,122.8,132.7,1.8,2.04,,NA,NA,NA,NA,NA,-,,,NA,+,vf
MA031.1,31.1,31.1_MSU977,MA031,5068,A,Control,A Day -1,1,10/24/19,8/21/19,4,Yes,8/20/19,-1,Day -1,Fresh,747474.75,108.46,0,0.01,0,Frozen,142000,5800,55700,4.08,39.15,Yes,7/26/20,75,110,125.1,1.8,1.45,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA031.2,31.2,31.2_MSU977,MA031,5068,A,Control,A Week 1,2,10/24/19,8/21/19,4,Yes,8/28/19,7,Week 1,Fresh,68230.56,108.46,0,0.16,0,Frozen,633000,86700,451000,13.69,71.27,Yes,7/26/20,75,98,110.3,1.78,1.25,,NA,NA,NA,NA,NA,-,,,NA,f,+
MA031.3,31.3,31.3_MSU977,MA031,5068,A,Control,A Week 2,3,10/24/19,8/21/19,4,Yes,9/4/19,14,Week 2,Fresh,243377.48,759.22,0,0.31,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA031.4,31.4,31.4_MSU977,MA031,5068,A,Control,A Week 3,4,10/24/19,8/21/19,4,Yes,9/11/19,21,Week 3,Fresh,89090.91,542.3,0,0.61,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA031.5,31.5,31.5_MSU977,MA031,5068,A,Control,A Week 5,5,10/24/19,8/21/19,4,Yes,9/25/19,35,Week 5,Fresh,105960.26,1247.29,0,1.18,0,Frozen,NA,NA,NA,NA,NA,Yes,7/28/20,75,120,137.9,1.8,2.16,,NA,NA,NA,NA,NA,f,,,NA,f,+
MA031.6,31.6,31.6_MSU977,MA031,5068,A,Control,A Week 7,6,10/24/19,8/21/19,4,Yes,10/9/19,49,Week 7,Fresh,31233.24,18.75,0,0.06,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA031.7,31.7,31.7_MSU977,MA031,5068,A,Control,A Week 9,7,10/24/19,8/21/19,4,Yes,10/23/19,63,Week 9,Fresh,231788.08,54.23,0,0.02,0,Frozen,NA,NA,NA,NA,NA,Yes,7/28/20,75,68,76.4,1.8,0.72,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
